"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS","COMMENTS"
"DC_DEAL_CODE","MANUAL_IS_SHOW","NUMBER","1","Y","","人工审核是否显示:0-显示,1-不显示","处理码"
"DC_DEAL_CODE","MANUAL_DEAL_CODE","NUMBER","2","Y","","人工审核结果:10-成功  20-失败","处理码"
"DC_DEAL_CODE","CAN_REBIND","NUMBER","2","Y","","能否重试:0-能 1-不能","处理码"
"DC_DEAL_MAP","DEAL_CODE","NUMBER","3","N","PK_DEAL_MAP","处理码:参见处理码表","处理映射表"
"DC_DEAL_MAP","DEAL_CODE","NUMBER","3","N","SYS_C00108786","处理码:参见处理码表","处理映射表"
"DC_DEAL_MAP","CARD_TYPE","NUMBER","2","N","PK_DEAL_MAP","卡类型:1-库存卡  2-网关卡  3-第三方库存卡","处理映射表"
"DC_DEAL_MAP","CARD_TYPE","NUMBER","2","N","SYS_C00108787","卡类型:1-库存卡  2-网关卡  3-第三方库存卡","处理映射表"
"DC_DEAL_MAP","IS_MYSELF","NUMBER","2","N","PK_DEAL_MAP","是否是自有渠道:0-自有  1-第三方","处理映射表"
"DC_DEAL_MAP","IS_MYSELF","NUMBER","2","N","SYS_C00108788","是否是自有渠道:0-自有  1-第三方","处理映射表"
"DC_DEAL_MAP","UP_ORDER_STATUS","NUMBER","2","N","SYS_C00108789","上游订单状态:0-成功  1-失败  2-运营商已受理但不能核实  9-未知","处理映射表"
"DC_DEAL_MAP","BIND_DEAL_CODE","NUMBER","3","N","SYS_C00108790","绑定处理类型:0-成功 1-失败 2-限量失败 3-延迟核卡 99-人工审核","处理映射表"
"DC_DEAL_MAP","ORDER_DEAL_CODE","NUMBER","3","N","SYS_C00108791","订单处理代码:0-成功 1-限量成功 2-失败 3-限量失败 4-重试 5-首笔失败   99-人工审核","处理映射表"
"DC_DEAL_MAP","DEAL_DESC","VARCHAR2","","Y","","处理描述","处理映射表"
"DC_DEAL_MAP","DISABLE_CHANGE_PHONE","NUMBER","3","Y","","是否禁止换号:0-禁止  1-不禁止","处理映射表"
"DC_DEAL_MAP","DISABLE_REBIND","NUMBER","3","Y","","是否关闭订单的重绑：1-不关闭  0-关闭","处理映射表"
"DC_VERIFY_CARD_CONFIG","CARRIER_NO","VARCHAR2","","Y","","运营商编号","验卡配置"
"DC_VERIFY_CARD_CONFIG","PROVINCE_NO","VARCHAR2","","Y","","省编号,QG表示所有省","验卡配置"
"DC_VERIFY_CARD_CONFIG","STATUS","NUMBER","2","Y","","状态:0-有效  1-无效","验卡配置"
"DC_VERIFY_CARD_CONFIG","SCRIPT_PATH","VARCHAR2","","Y","","脚本路径","验卡配置"
"DC_CARD_QUERY","CARD_QUERY_ID","NUMBER","","N","PK_CARD_QUERY","查询编号","查卡记录"
"DC_CARD_QUERY","ORDER_NO","VARCHAR2","","Y","","订单编号","查卡记录"
"DC_CARD_QUERY","BIND_ID","NUMBER","","Y","","绑定编号，收单查询时为空，发货查询时不能为空","查卡记录"
"DC_CARD_QUERY","CREATE_TIME","DATE","","Y","","创建时间","查卡记录"
"DC_CARD_QUERY","STATUS","NUMBER","2","Y","","状态","查卡记录"
"DC_CARD_QUERY","NEXT_TIME","DATE","","Y","","下次执行时间","查卡记录"
"DC_CARD_QUERY","QUERY_TIMES","NUMBER","","Y","","查询次数","查卡记录"
"DC_CARD_QUERY","QUERY_MSG","VARCHAR2","","Y","","查询消息","查卡记录"
"DC_CARD_QUERY","CARD_STATUS","NUMBER","","N","SYS_C00108792","卡状态","查卡记录"
"DC_CARD_QUERY","CARD_VERIFY_MODE","NUMBER","","Y","","查询模式;0-收单查询  1-发货查询","查卡记录"
"DC_CARD_QUERY","MAX_COUNT","NUMBER","5","Y","","最大次数,收单查询只能为1次,","查卡记录"
"DC_CARD_QUERY","FINISH_TIME","DATE","","Y","","结束时间","查卡记录"
"DC_CARD_QUERY","CARD_VERIFY_FACE","NUMBER","","Y","","校验面值","查卡记录"
"DC_CARD_QUERY","LAST_VERIFY_TIME","DATE","","Y","","最后校验时间","查卡记录"
"DC_VER_SWITCH_CONFIG","PARTNER_ID","VARCHAR2","","Y","","下游渠道编号","代码版本切换配置"
"DC_VER_SWITCH_CONFIG","STATUS","NUMBER","","Y","","是否切换:0-需要切换  1-不需要切换","代码版本切换配置"
"DC_DOWN_EXCLUDE_UP","REJECT_ID","NUMBER","20","Y","","编号","下游排斥上游"
"DC_DOWN_EXCLUDE_UP","PARTNER_ID","VARCHAR2","","Y","","下游编号","下游排斥上游"
"DC_DOWN_EXCLUDE_UP","CHANNEL_NO","VARCHAR2","","Y","","上游渠道编号","下游排斥上游"
"DC_DOWN_EXCLUDE_UP","STATUS","NUMBER","1","Y","","是否可用","下游排斥上游"
"DC_DOWN_EXCLUDE_UP","REMARK","VARCHAR2","","Y","","状态0可用,1不可用","下游排斥上游"
"DC_DOWN_EXCLUDE_UP","CREATED_DATE","DATE","","Y","","创建时间","下游排斥上游"
"DC_DOWN_EXCLUDE_UP","CARETED_USER","VARCHAR2","","Y","","创建人","下游排斥上游"
"DC_DOWN_EXCLUDE_UP","LAST_EDIT_DATE","DATE","","Y","","最后更新时间","下游排斥上游"
"DC_DOWN_EXCLUDE_UP","LAST_EDIT_USER","VARCHAR2","","Y","","最后更新人","下游排斥上游"
"DC_DOWN_EXCLUDE_UP","CARRIER_NO","VARCHAR2","","Y","","运营商","下游排斥上游"
"DC_WORK_CONFIG","WORK_TYPE","NUMBER","10","N","PK_WORK_TYPE","类型:1-普通审核,2,电话审核,3-订单备注,9-其他","工作量配置"
"DC_WORK_CONFIG","WORK_NAME","VARCHAR2","","Y","","名称","工作量配置"
"DC_WORK_CONFIG","WORK_SCORE","NUMBER","","Y","","得分","工作量配置"
"DC_WORK_CONFIG","QUICKLY","NUMBER","","Y","","迅速处理得分","工作量配置"
"DC_PRODUCT_MAINTAIN","M_ID","NUMBER","10","N","PK_MANTAIN_ID","编号","产品维护计划表"
"DC_PRODUCT_MAINTAIN","M_ID","NUMBER","10","N","SYS_C00108794","编号","产品维护计划表"
"DC_PRODUCT_MAINTAIN","CHANNEL_NO","VARCHAR2","","N","SYS_C00108795","渠道编号","产品维护计划表"
"DC_PRODUCT_MAINTAIN","ACCOUNT_PROVINCE_NO","VARCHAR2","","N","SYS_C00108796","号省份","产品维护计划表"
"DC_PRODUCT_MAINTAIN","CARD_PROVINCE_NO","VARCHAR2","","Y","","卡省份","产品维护计划表"
"DC_PRODUCT_MAINTAIN","BEGIN_TIME","DATE","","N","SYS_C00108797","开始时间","产品维护计划表"
"DC_PRODUCT_MAINTAIN","END_TIME","DATE","","N","SYS_C00108798","结束时间","产品维护计划表"
"DC_PRODUCT_MAINTAIN","CREATED_TIME","DATE","","N","SYS_C00108799","创建时间","产品维护计划表"
"DC_PRODUCT_MAINTAIN","CREATED_USER","VARCHAR2","","N","SYS_C00108800","创建人","产品维护计划表"
"DC_PRODUCT_MAINTAIN","REMARK","VARCHAR2","","Y","","备注","产品维护计划表"
"DC_PRODUCT_MAINTAIN","CARRIER_NO","VARCHAR2","","N","SYS_C00108801","运营商","产品维护计划表"
"DC_PRODUCT_MAINTAIN","IS_WARN","NUMBER","5","Y","","是否报警提示:1-未提示,0-已经提示","产品维护计划表"
"DC_PRODUCT_MAINTAIN","STATUS","NUMBER","1","Y","","状态,是否可用0-可用,1-不可用","产品维护计划表"
"DC_PRODUCT_MAINTAIN","BUSINESS_TYPE","NUMBER","1","Y","","业务类型","产品维护计划表"
"DC_REBIND_PHONE_NOTIFY","ORDER_NO","VARCHAR2","","N","PK_REBIND_PHONE_NOTIFY","订单号","重绑手机号通知表"
"DC_REBIND_PHONE_NOTIFY","CREATE_TIME","DATE","","N","SYS_C00108829","创建时间","重绑手机号通知表"
"DC_REBIND_PHONE_NOTIFY","NOTIFY_STATUS","NUMBER","3","N","SYS_C00108830","通知状态","重绑手机号通知表"
"DC_REBIND_PHONE_NOTIFY","NOFITY_TIME","DATE","","N","SYS_C00108831","下次通知时间","重绑手机号通知表"
"DC_REBIND_PHONE_NOTIFY","NOTIFY_CNTR","NUMBER","5","Y","","通次数","重绑手机号通知表"
"DC_REBIND_PHONE_NOTIFY","ROBOT_CODE","VARCHAR2","","Y","","机器人编号","重绑手机号通知表"
"DC_REBIND_PHONE_NOTIFY","ROBOT_IP","VARCHAR2","","Y","","通知机器人IP","重绑手机号通知表"
"DC_REBIND_PHONE_NOTIFY","NOTIFY_MSG","VARCHAR2","","Y","","通知结果消息","重绑手机号通知表"
"DC_REBIND_PHONE_NOTIFY","FINISH_TIME","DATE","","Y","","完成时间","重绑手机号通知表"
"DC_DOWN_SPECIFY_UP","PARTNER_ID","VARCHAR2","","Y","","下游编号","下游指定上游"
"DC_DOWN_SPECIFY_UP","CHANNEL_NO","VARCHAR2","","Y","","上游渠道编号","下游指定上游"
"DC_DOWN_SPECIFY_UP","CARRIER_NO","VARCHAR2","","Y","","运营商,所有*","下游指定上游"
"DC_DOWN_SPECIFY_UP","PROVINCE_NO","VARCHAR2","","Y","","省份,全国QG","下游指定上游"
"DC_DOWN_SPECIFY_UP","PROPORTION","NUMBER","5","Y","","分流比100","下游指定上游"
"DC_DOWN_SPECIFY_UP","STATUS","NUMBER","1","Y","","状态:0-启用,1-禁用","下游指定上游"
"DC_DOWN_SPECIFY_UP","REMARK","VARCHAR2","","Y","","备注","下游指定上游"
"DC_DOWN_SPECIFY_UP","CREATED_TIME","DATE","","Y","","创建时间","下游指定上游"
"DC_DOWN_SPECIFY_UP","CREATED_USER","VARCHAR2","","Y","","创建人","下游指定上游"
"DC_DOWN_SPECIFY_UP","UPDATED_TIME","DATE","","Y","","最后更新时间","下游指定上游"
"DC_DOWN_SPECIFY_UP","UPDATED_USER","VARCHAR2","","Y","","最后更新人","下游指定上游"
"DC_DOWN_SPECIFY_UP","SPECIFY_ID","NUMBER","","Y","","主键","下游指定上游"
"DC_CHANNEL_SPEED","SPEED_ID","NUMBER","5","N","PK_SPEED_ID","编号","上游充值速度[频率]"
"DC_CHANNEL_SPEED","CHANNEL_NO","VARCHAR2","","Y","","渠道","上游充值速度[频率]"
"DC_CHANNEL_SPEED","CARRIER_NO","VARCHAR2","","Y","","运营商(*标识所有)","上游充值速度[频率]"
"DC_CHANNEL_SPEED","MAX_COUNT","NUMBER","5","Y","","最大值(每分钟多少笔)","上游充值速度[频率]"
"DC_CHANNEL_SPEED","BIND_COUNT","NUMBER","5","Y","","已经绑定笔数","上游充值速度[频率]"
"DC_CHANNEL_SPEED","FTIME","NUMBER","5","Y","","频率(秒)","上游充值速度[频率]"
"DC_CHANNEL_SPEED","LAST_REFRESH_DATE","DATE","","Y","","最后刷新时间","上游充值速度[频率]"
"DC_CHANNEL_SPEED","STATUS","NUMBER","1","Y","","是否可用:0-可用,1不可用","上游充值速度[频率]"
"DC_CHANNEL_SPEED","EDIT_USER","VARCHAR2","","Y","","编辑人","上游充值速度[频率]"
"DC_CHANNEL_SPEED","EDIT_DATE","DATE","","Y","","更新时间","上游充值速度[频率]"
"DC_CHANNEL_SPEED","BUSINESS_TYPE","NUMBER","1","Y","","业务类型","上游充值速度[频率]"
"DC_CHANNEL_MPLAN","ID","NUMBER","10","N","SYS_C00108832","编号","渠道维护计划"
"DC_CHANNEL_MPLAN","ID","NUMBER","10","N","PK_UP_PLAN_ID","编号","渠道维护计划"
"DC_CHANNEL_MPLAN","CHANNEL_NO","VARCHAR2","","N","SYS_C00108833","上游渠道编号","渠道维护计划"
"DC_CHANNEL_MPLAN","PLAN_TYPE","NUMBER","3","N","SYS_C00108834","类型:0-每月,1-每天,2-月末(每月最后一天),3一次性维护","渠道维护计划"
"DC_CHANNEL_MPLAN","BEGIN_DATE","DATE","","N","SYS_C00108835","开始时间","渠道维护计划"
"DC_CHANNEL_MPLAN","END_DATE","DATE","","N","SYS_C00108836","结束时间","渠道维护计划"
"DC_CHANNEL_MPLAN","REMARK","VARCHAR2","","Y","","备注","渠道维护计划"
"DC_CHANNEL_MPLAN","STATUS","NUMBER","1","N","SYS_C00108837","状态:0-可用,1-不可用","渠道维护计划"
"DC_CHANNEL_MPLAN","CREATED_USER","VARCHAR2","","Y","","创建人","渠道维护计划"
"DC_CHANNEL_MPLAN","CREATED_TIME","DATE","","Y","","创建时间","渠道维护计划"
"DC_CHANNEL_MPLAN","UPDATED_USER","VARCHAR2","","Y","","最后更新人","渠道维护计划"
"DC_CHANNEL_MPLAN","UPDATED_TIME","DATE","","Y","","最后更新时间","渠道维护计划"
"DC_CHANNEL_MPLAN","BUSINESS_TYPE","NUMBER","1","Y","","业务类型","渠道维护计划"
"DC_PARTNER_MPLAN","ID","NUMBER","10","N","SYS_C00108838","编号","商户维护计划"
"DC_PARTNER_MPLAN","ID","NUMBER","10","N","PK_PARTNER_M_ID","编号","商户维护计划"
"DC_PARTNER_MPLAN","PARTNER_ID","VARCHAR2","","N","SYS_C00108839","商户编号","商户维护计划"
"DC_PARTNER_MPLAN","PLAN_TYPE","NUMBER","3","N","SYS_C00108840","类型:0-每月,1-每天,2-月末(每月最后一天),3一次性维护","商户维护计划"
"DC_PARTNER_MPLAN","BEGIN_DATE","DATE","","N","SYS_C00108841","开始时间","商户维护计划"
"DC_PARTNER_MPLAN","END_DATE","DATE","","N","SYS_C00108842","结束时间","商户维护计划"
"DC_PARTNER_MPLAN","REMARK","VARCHAR2","","Y","","备注","商户维护计划"
"DC_PARTNER_MPLAN","STATUS","NUMBER","1","N","SYS_C00108843","状态:0-可用,1-不可用","商户维护计划"
"DC_PARTNER_MPLAN","CREATED_USER","VARCHAR2","","Y","","创建人","商户维护计划"
"DC_PARTNER_MPLAN","CREATED_TIME","DATE","","Y","","创建时间","商户维护计划"
"DC_PARTNER_MPLAN","UPDATED_USER","VARCHAR2","","Y","","最后更新人","商户维护计划"
"DC_PARTNER_MPLAN","UPDATED_TIME","DATE","","Y","","最后更新时间","商户维护计划"
"DC_CARRIER_QUERY_CONFIG","CONFIG_NO","VARCHAR2","","N","SYS_C00108844","配置编号","运营商查询"
"DC_CARRIER_QUERY_CONFIG","CONFIG_NO","VARCHAR2","","N","PK_CARRIER_QUERY_CONFIG","配置编号","运营商查询"
"DC_CARRIER_QUERY_CONFIG","TITILE","VARCHAR2","","N","SYS_C00108845","描述信息","运营商查询"
"DC_CARRIER_QUERY_CONFIG","CARD_CARRIER_NO","VARCHAR2","","N","SYS_C00108846","卡运营商,全部*","运营商查询"
"DC_CARRIER_QUERY_CONFIG","ACCOUNT_CARRIER_NO","VARCHAR2","","N","SYS_C00108847","账号运营商,全部*","运营商查询"
"DC_CARRIER_QUERY_CONFIG","CARD_PROVINCE_NO","VARCHAR2","","N","SYS_C00108848","卡省份,全国QG","运营商查询"
"DC_CARRIER_QUERY_CONFIG","ACOUNT_PROVINCE_NO","VARCHAR2","","N","SYS_C00108849","号省份,全国QG","运营商查询"
"DC_CARRIER_QUERY_CONFIG","SCRIPT","VARCHAR2","","N","SYS_C00108850","脚本路径","运营商查询"
"DC_CARRIER_QUERY_CONFIG","STATUS","NUMBER","1","N","SYS_C00108851","状态:0-启用,1-禁用","运营商查询"
"DC_CARRIER_QUERY_CONFIG","QUERY_MAX_COUNT","NUMBER","5","N","SYS_C00108852","查询最多次数","运营商查询"
"DC_CARRIER_QUERY_CONFIG","ROBOT_CODE","VARCHAR2","","N","SYS_C00108853","查询机器人编码","运营商查询"
"DC_CARRIER_QUERY_CONFIG","FIRST_QUERY_TIME","NUMBER","6","N","SYS_C00108854","首次查询时间(秒)","运营商查询"
"DC_CARRIER_QUERY_CONFIG","PRIORITY","NUMBER","5","N","SYS_C00108855","优先级,越小,越容易被选上","运营商查询"
"DC_CARRIER_QUERY_CONFIG","UPDATED_DATE","DATE","","Y","","最后操作人","运营商查询"
"DC_CARRIER_QUERY_CONFIG","UPDATED_USER","VARCHAR2","","Y","","最后更新人","运营商查询"
"DC_CARRIER_QUERY_CONFIG","CREATED_DATE","DATE","","Y","","创建时间","运营商查询"
"DC_CARRIER_QUERY_CONFIG","CREATED_USER","VARCHAR2","","Y","","创建人","运营商查询"
"DC_CARRIER_QUERY_CONFIG","INTERVAL","NUMBER","10","Y","","下次查询间隔(s)","运营商查询"
"DC_CARRIER_QUERY_RECORD","RECORD_ID","NUMBER","20","N","SYS_C00108856","编号","运营商核实记录"
"DC_CARRIER_QUERY_RECORD","RECORD_ID","NUMBER","20","N","PK_CQUERY_ID","编号","运营商核实记录"
"DC_CARRIER_QUERY_RECORD","ORDER_NO","VARCHAR2","","N","SYS_C00108857","订单号","运营商核实记录"
"DC_CARRIER_QUERY_RECORD","STATUS","NUMBER","4","N","SYS_C00108858","状态:20-等待处理,30-处理中","运营商核实记录"
"DC_CARRIER_QUERY_RECORD","CONFIG_NO","VARCHAR2","","N","SYS_C00108859","上游配置渠道","运营商核实记录"
"DC_CARRIER_QUERY_RECORD","CREATED_TIME","DATE","","N","SYS_C00108860","创建时间","运营商核实记录"
"DC_CARRIER_QUERY_RECORD","NEXT_QUERY_TIME","DATE","","N","SYS_C00108861","下次查询时间","运营商核实记录"
"DC_CARRIER_QUERY_RECORD","QUERIED_TIMES","NUMBER","3","N","SYS_C00108862","已经查询的次数","运营商核实记录"
"DC_CARRIER_QUERY_RECORD","QUERY_MAX_TIME","NUMBER","3","N","SYS_C00108863","查询最大次数","运营商核实记录"
"DC_CARRIER_QUERY_RECORD","QUERY_MSG","VARCHAR2","","Y","","消息","运营商核实记录"
"DC_CARRIER_QUERY_RECORD","ROBOT_IP","VARCHAR2","","Y","","最后一次查询机器人IP","运营商核实记录"
"DC_OPERATE_LOG_HS_OLD","OPERATE_ID","NUMBER","20","N","SYS_C00108864","编号","人工操作日志表"
"DC_OPERATE_LOG_HS_OLD","ORDER_NO","VARCHAR2","","Y","","订单号","人工操作日志表"
"DC_OPERATE_LOG_HS_OLD","BIND_ID","NUMBER","20","Y","","绑定编号","人工操作日志表"
"DC_OPERATE_LOG_HS_OLD","ORDER_TYPE","NUMBER","1","N","SYS_C00108865","订单类别(1:订单,2:绑定)","人工操作日志表"
"DC_OPERATE_LOG_HS_OLD","OPERATE_TYPE","NUMBER","1","N","SYS_C00108866","操作类别(1:人工,2:系统)","人工操作日志表"
"DC_OPERATE_LOG_HS_OLD","DESCRIPTION","VARCHAR2","","N","SYS_C00108867","操作描述","人工操作日志表"
"DC_OPERATE_LOG_HS_OLD","IP_ADDRESS","VARCHAR2","","Y","","IP地址","人工操作日志表"
"DC_OPERATE_LOG_HS_OLD","CREATED_USER","VARCHAR2","","Y","","创建用户","人工操作日志表"
"DC_OPERATE_LOG_HS_OLD","CREATED_TIME","DATE","","Y","","创建时间","人工操作日志表"
"DC_OPERATE_LOG_HS_OLD","WORK_TYPE","NUMBER","","Y","","1-普通审核,2,电话审核,3-订单备注,9-其他","人工操作日志表"
"DC_OPERATE_LOG_HS_OLD","IS_QUICKLY","NUMBER","1","Y","","是否迅速处理","人工操作日志表"
"DC_OPERATE_LOG_HS","OPERATE_ID","NUMBER","20","N","SYS_C00108868","编号","人工操作日志表"
"DC_OPERATE_LOG_HS","OPERATE_ID","NUMBER","20","N","PK_DC_OPERATE_LOG_HS1","编号","人工操作日志表"
"DC_OPERATE_LOG_HS","ORDER_NO","VARCHAR2","","Y","","订单号","人工操作日志表"
"DC_OPERATE_LOG_HS","BIND_ID","NUMBER","20","Y","","绑定编号","人工操作日志表"
"DC_OPERATE_LOG_HS","ORDER_TYPE","NUMBER","1","N","SYS_C00108869","订单类别(1:订单,2:绑定)","人工操作日志表"
"DC_OPERATE_LOG_HS","OPERATE_TYPE","NUMBER","1","N","SYS_C00108870","操作类别(1:人工,2:系统)","人工操作日志表"
"DC_OPERATE_LOG_HS","DESCRIPTION","VARCHAR2","","N","SYS_C00108871","操作描述","人工操作日志表"
"DC_OPERATE_LOG_HS","IP_ADDRESS","VARCHAR2","","Y","","IP地址","人工操作日志表"
"DC_OPERATE_LOG_HS","CREATED_USER","VARCHAR2","","Y","","创建用户","人工操作日志表"
"DC_OPERATE_LOG_HS","CREATED_TIME","DATE","","Y","","创建时间","人工操作日志表"
"DC_OPERATE_LOG_HS","WORK_TYPE","NUMBER","","Y","","1-普通审核,2,电话审核,3-订单备注,9-其他","人工操作日志表"
"DC_OPERATE_LOG_HS","IS_QUICKLY","NUMBER","1","Y","","是否迅速处理","人工操作日志表"
"DC_DOWN_FUND_RECORD_HS","DOWN_FUND_RECORD_ID","NUMBER","20","Y","","资金变动主键","下游资金变动"
"DC_DOWN_FUND_RECORD_HS","ORDER_NO","VARCHAR2","","Y","","订单号","下游资金变动"
"DC_DOWN_FUND_RECORD_HS","CHANGE_BALANCE","NUMBER","18","Y","","资金变动金额","下游资金变动"
