"TYPE"
"ManualStatus"
"NotifyType"
"ProductType"
"DivisionMode"
"BusinessType"
"PictureMode"
"ChangeType"
"BindStatus"
"VerifyState"
"Status"
"BatchStatus"
"AdAccountType"
"IsOrNot"
"RechargeStatus"
"PayStatus"
"PutAccountType"
"ScriptType"
"LoginStatus"
"ActivateStatus"
"SendStatus"
"OrderStatus"
"NeedVcode"
"MsgType"
"SuccessOrFailure"
"test_chao_1"
"RuleCondition"
"QueryStatus"
"MatchRule"
"DeductMode"
"RefundStatus"
"RuleType"
"ErrorCode"
"AccountType"
"NeedPay"
