"TYPE"
"FlowType"
"HdType"
"UserType"
"ManualStatus"
"NotifyType"
"Carrier"
"OperateType"
"FeeType"
"DebitMode"
"NotifyStatus"
"BindStatus"
"Status"
"ChangeType"
"IccType"
"DealType"
"BindMode"
"IccIdStatus"
"ScriptType"
"SyncStatus"
"OrderStatus"
"ExpressStatus"
"MarkStatus"
"ActionType"
"Write_Card_Mode"
"Priority"
"LimitType"
"COMPANY"
"TaskStatus"
"DealMode"
"ValueType"
"IsTure"
"ActiveStatus"
"RefundStatus"
"RuleType"
