"TYPE"
"FlowType"
"Version"
"NotifyType"
"ManualStatus"
"PayNotifyState"
"RechargeMode"
"IsRecommend"
"BusinessType"
"NotifyStatus"
"CouponType"
"DeliveryStatus"
"Carrier"
"ProductType"
"NeedRecharge"
"DisplayType"
"PageNo"
"ChangeType"
"Status"
"NoOrderRetry"
"PayStatus"
"CardType"
"DiffType"
"OrderStatus"
"IsNeed"
"ReStatus"
"PayType"
"GetTypeWay"
"OrderNotifyState"
"QueryStatus"
"AccountStatus"
"IsTrue"
"DeviceType"
"TruncType"
"AccountType"
"RefundStatus"
